,datetime,tempmin,temp,tempmax
0,2024-02-20,-6.7,-2.6,1.8
1,2024-02-21,-2.2,-0.1,1.7
2,2024-02-22,-0.5,1.6,4.5
3,2024-02-23,1.3,4.6,7.3
4,2024-02-24,-4.7,-1.0,3.5
5,2024-02-25,-5.7,-1.0,3.4
6,2024-02-26,1.8,4.7,8.6
7,2024-02-27,1.1,5.5,9.6
