,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-02-19,2.3,-2.7,0.2,-0.9,-8.5,-4.8,-13.3,38.3,0.0,0,0.0,,0,0.0,42.3,27.6,280.9,1018.1,17.9,16.0,128.1,11.2,5,10,2024-02-19T06:35:41,2024-02-19T17:21:11,0.33,Clear,Clear conditions throughout the day.,clear-day,"KOWD,KBED,0518W,KBOS"
1,"Boston, MA, United States",2024-02-20,0.0,-6.6,-2.9,-1.8,-12.5,-7.0,-12.4,48.3,0.0,0,0.0,,0,0.0,29.5,16.6,334.2,1032.6,0.3,16.2,179.8,15.5,6,10,2024-02-20T06:34:13,2024-02-20T17:22:27,0.37,Clear,Clear conditions throughout the day.,clear-day,
2,"Boston, MA, United States",2024-02-21,3.4,-3.3,-0.2,-0.2,-6.5,-3.7,-6.1,64.4,0.0,1,0.0,,0,0.0,16.6,14.8,153.4,1031.9,36.4,16.3,175.6,14.9,5,10,2024-02-21T06:32:44,2024-02-21T17:23:42,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
3,"Boston, MA, United States",2024-02-22,5.0,-1.1,1.6,2.4,-3.9,-1.5,-3.0,71.8,0.0,9,0.0,,0,0.0,28.4,18.7,205.1,1015.0,50.8,17.3,179.6,15.7,5,10,2024-02-22T06:31:14,2024-02-22T17:24:58,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
4,"Boston, MA, United States",2024-02-23,8.1,1.9,5.3,4.9,-2.7,1.4,3.0,85.1,1.4,62,16.67,rain,0,0.2,33.1,21.6,205.3,997.8,85.0,10.8,8.1,0.8,0,10,2024-02-23T06:29:43,2024-02-23T17:26:13,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
5,"Boston, MA, United States",2024-02-24,4.4,-3.3,0.8,-0.1,-10.1,-5.3,-7.4,55.8,1.1,56,8.33,"rain,snow",0,0.1,46.1,30.6,306.1,1006.5,30.6,23.3,167.4,14.4,5,10,2024-02-24T06:28:11,2024-02-24T17:27:28,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,rain,
6,"Boston, MA, United States",2024-02-25,4.0,-4.3,0.0,-0.9,-11.1,-5.7,-9.5,49.4,0.0,14,0.0,,0,0.0,41.4,27.7,243.3,1014.8,34.3,22.7,185.8,16.3,5,10,2024-02-25T06:26:39,2024-02-25T17:28:43,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2024-02-26,8.5,1.7,4.4,4.8,-3.3,-0.3,-2.8,60.4,0.0,22,0.0,,0,0.0,41.0,28.1,260.0,1010.5,39.7,23.6,195.8,16.8,5,10,2024-02-26T06:25:05,2024-02-26T17:29:57,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
